title|location|use|category
AV1|Please place in AV70, AV57 box in the master room|This item is used for testing batteries|Tool used by Mumma and Dada
AV2|Please place in AV31, AV33 shelf in the study|This item is used for cooking vegetables|Tool used by Mumma
AV3|Please place in AV50 locker in the office|This item is used for repairing pipe|Tool used by Vipin
AV4|Please place in AV45 drawer in the garage|This item is used for organizing tools|Shared tool
AV5|Please place in AV31, AV33 shelf in the study|This item is used for measuring water quality|Tool used by whole family
AV6|Please place in AV31, AV33 shelf in the study|This item is used for creating mathematical objects|Tool used by Mumma and Dada
AV7|Please place in AV20, AV22 box near entrance|This item is used for storing documents|Tool used by Mumma
AV8|Please place in AV17, AV23 box in the bedroom|This item is used for measuring water quality|Tool used by whole family
AV9|Please place in AV20, AV22 box near entrance|This item is used for organizing tools|Tool used by guests
AV10|Please place in AV15, AV16 section in the kids' room|This item is used for repairing pipe|Tool used by Athira
AV11|Please place in AV45 drawer in the garage|This item is used for repairing pipe|Tool used by Mumma and Dada
AV12|Please place in AV20, AV22 box near entrance|This item is used for creating mathematical objects|Shared tool
AV13|Please place in AV70, AV57 box in the master room|This item is used for cleaning surfaces|Tool used by Athira
AV14|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Tool used by guests
AV15|Please place in AV12, AV19 box in the living room|This item is used for creating mathematical objects|Tool used by Dada
AV16|Please place in AV17, AV23 box in the bedroom|This item is used for creating mathematical objects|Tool used by Vipin
AV17|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used by Dada
AV18|Please place in AV25 box in the kitchen|This item is used for testing batteries|Tool used by Mumma
AV19|Please place in AV38 rack in the store room|This item is used for measuring water quality|Tool used by Dada
AV20|Please place in AV25 box in the kitchen|This item is used for organizing tools|Shared tool
AV21|Please place in AV70, AV57 box in the master room|This item is used for cleaning surfaces|Tool used by Dada
AV22|Please place in AV20, AV22 box near entrance|This item is used for creating mathematical objects|Tool used in emergencies
AV23|Please place in AV17, AV23 box in the bedroom|This item is used for testing batteries|Tool used by Mumma
AV24|Please place in AV12, AV19 box in the living room|This item is used for testing batteries|Tool used by Vipin
AV25|Please place in AV70, AV57 box in the master room|This item is used for measuring water quality|Tool used by Dada
AV26|Please place in AV31, AV33 shelf in the study|This item is used for testing batteries|Tool used by kids
AV27|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used by whole family
AV28|Please place in AV45 drawer in the garage|This item is used for charging electronic devices|Tool used by Dada
AV29|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by whole family
AV30|Please place in AV50 locker in the office|This item is used for monitoring air quality|Tool used by Vipin
AV31|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Tool used by Vipin
AV32|Please place in AV20, AV22 box near entrance|This item is used for testing batteries|Tool used by kids
AV33|Please place in AV20, AV22 box near entrance|This item is used for storing documents|Tool used by Vipin
AV34|Please place in AV31, AV33 shelf in the study|This item is used for monitoring air quality|Tool used by kids
AV35|Please place in AV50 locker in the office|This item is used for repairing pipe|Tool used in emergencies
AV36|Please place in AV50 locker in the office|This item is used for measuring water quality|Shared tool
AV37|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used by guests
AV38|Please place in AV17, AV23 box in the bedroom|This item is used for testing batteries|Shared tool
AV39|Please place in AV31, AV33 shelf in the study|This item is used for storing documents|Tool used by Mumma and Dada
AV40|Please place in AV25 box in the kitchen|This item is used for monitoring air quality|Tool used by whole family
AV41|Please place in AV17, AV23 box in the bedroom|This item is used for cleaning surfaces|Tool used by Athira
AV42|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used by Mumma and Dada
AV43|Please place in AV12, AV19 box in the living room|This item is used for cleaning surfaces|Tool used by Mumma and Dada
AV44|Please place in AV31, AV33 shelf in the study|This item is used for cleaning surfaces|Tool used by Dada
AV45|Please place in AV38 rack in the store room|This item is used for cooking vegetables|Tool used by Mumma
AV46|Please place in AV38 rack in the store room|This item is used for charging electronic devices|Tool used by Mumma
AV47|Please place in AV38 rack in the store room|This item is used for cleaning surfaces|Tool used by Athira
AV48|Please place in AV50 locker in the office|This item is used for storing documents|Tool used by Mumma
AV49|Please place in AV12, AV19 box in the living room|This item is used for monitoring air quality|Tool used by guests
AV50|Please place in AV17, AV23 box in the bedroom|This item is used for monitoring air quality|Tool used by Athira
